,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
141,SE Palmeiras,Atlético Mineiro,3,2,18,6,5,3,1,5,9,0,16,22,22,16,1,0
142,Sport Recife,Botafogo FR,0,1,12,13,6,7,4,5,6,4,10,12,12,10,1,1
143,CR Flamengo,Fluminense FC,1,0,9,6,4,3,2,2,8,3,6,14,14,6,1,2
144,Fluminense FC,SE Palmeiras,1,2,17,9,6,1,2,0,5,3,14,13,13,15,0,1
145,Ceará SC,Mirassol FC,0,2,22,4,8,0,1,8,14,6,10,12,13,10,1,1
146,SC Corinthians,Cruzeiro EC,0,0,7,14,2,5,4,3,4,2,14,19,19,17,2,1
147,Santos FC,SC Internacional,1,2,21,11,10,6,2,6,8,2,10,16,17,11,1,1
148,RB Bragantino,CR Flamengo,1,2,10,14,6,5,4,1,2,3,16,10,11,18,2,3
149,EC Vitória,Sport Recife,2,2,26,20,9,7,7,8,6,10,16,12,12,16,1,1
150,EC Juventude,São Paulo FC,0,1,8,16,4,6,2,0,4,8,11,13,15,12,0,0
151,CR Vasco da Gama,EC Bahia,3,1,19,9,9,4,2,4,6,2,10,20,20,13,1,1
152,Grêmio FBPA,Botafogo FR,1,1,17,12,9,6,3,3,7,1,15,7,7,17,1,1
153,Atlético Mineiro,Fortaleza EC,3,3,17,12,4,6,2,5,9,6,10,15,15,10,2,1
154,Botafogo FR,SC Corinthians,1,1,11,12,4,4,4,2,6,2,14,18,20,14,1,1
155,Mirassol FC,EC Vitória,1,1,15,15,4,6,6,6,8,5,10,11,12,14,0,1
156,Fortaleza EC,RB Bragantino,3,1,21,10,6,3,3,5,9,5,13,16,16,13,1,2
157,Sport Recife,Santos FC,2,2,16,9,7,1,3,3,4,3,17,24,25,17,4,3
158,SE Palmeiras,Grêmio FBPA,1,0,10,5,5,1,3,2,2,3,21,19,20,21,0,1
159,São Paulo FC,Fluminense FC,3,1,15,7,3,3,0,5,7,3,9,12,13,11,3,0
160,Cruzeiro EC,Ceará SC,1,2,16,9,7,3,1,3,10,3,11,7,8,11,0,4
161,SC Internacional,CR Vasco da Gama,1,1,27,15,4,4,4,6,10,5,13,9,10,14,3,1
162,EC Bahia,EC Juventude,3,0,17,3,5,2,0,5,2,1,13,16,18,15,1,1
163,CR Flamengo,Atlético Mineiro,1,0,16,13,3,6,4,5,5,7,13,17,18,14,0,2
164,Sport Recife,EC Bahia,0,0,5,14,4,10,2,1,3,6,7,11,12,8,1,0
165,Mirassol FC,CR Vasco da Gama,3,2,13,11,5,3,4,1,4,4,12,11,12,14,1,0
166,Fluminense FC,Grêmio FBPA,1,0,9,9,5,5,0,0,6,4,17,11,11,17,0,1
167,Botafogo FR,Cruzeiro EC,0,2,11,11,7,4,2,2,6,5,6,13,15,7,1,2
168,SC Corinthians,Fortaleza EC,1,1,18,8,9,3,2,4,5,3,15,10,10,16,3,4
169,Atlético Mineiro,RB Bragantino,2,1,29,4,13,1,2,7,9,0,10,12,13,11,1,3
170,Ceará SC,CR Flamengo,1,1,9,14,5,7,3,3,3,7,12,14,14,12,4,2
171,EC Vitória,SE Palmeiras,2,2,15,14,7,8,2,4,6,2,20,12,13,21,3,2
172,SC Internacional,São Paulo FC,1,2,11,9,3,1,2,3,4,5,18,22,23,19,0,3
173,Santos FC,EC Juventude,3,1,19,20,7,7,9,5,3,8,17,18,18,17,0,3
174,CR Flamengo,Mirassol FC,2,1,24,13,4,5,4,7,11,10,13,23,23,13,0,1
175,São Paulo FC,EC Vitória,2,0,23,5,11,2,1,1,4,3,10,16,16,10,0,2
176,RB Bragantino,SC Internacional,1,3,17,14,3,5,3,6,8,6,10,6,7,12,1,4
