,Time casa,Time visitante,Gols casa,Gols visitante,Tentativas de gol casa,Tentativas de gol visitante,Chutes para fora casa,Chutes para fora visitante,Defesa casa,Defesa visitante,Escanteios casa,Escanteios visitante,Cobranças de falta casa,Cobranças de falta visitante,Faltas casa,Faltas visitante,Impedimentos casa,Impedimentos visitante
196,Grêmio FBPA,Ceará SC,0,0,13,15,5,7,4,5,4,1,12,13,14,12,2,0
197,CR Vasco da Gama,SC Corinthians,2,3,12,14,5,6,4,1,3,5,17,15,16,20,1,2
198,EC Bahia,Santos FC,2,0,12,8,4,2,3,2,3,0,15,12,12,17,1,1
199,Fortaleza EC,Mirassol FC,0,1,14,7,3,1,3,6,11,3,13,14,15,13,2,1
200,EC Juventude,Botafogo FR,1,3,16,13,6,5,3,5,5,3,17,10,10,17,2,0
201,SE Palmeiras,Sport Recife,3,0,22,10,11,5,1,5,6,3,12,14,14,12,1,1
202,CR Flamengo,EC Vitória,8,0,20,2,4,1,1,2,8,1,4,17,17,6,0,2
203,Ceará SC,EC Juventude,0,1,13,10,2,6,1,7,4,5,25,17,17,26,2,0
204,Botafogo FR,RB Bragantino,4,1,17,7,8,2,2,2,6,8,15,10,10,15,6,1
205,Cruzeiro EC,São Paulo FC,1,0,12,14,2,4,5,6,6,9,8,10,11,9,1,1
206,CR Flamengo,Grêmio FBPA,1,1,21,6,8,4,0,4,13,0,11,16,18,11,1,1
207,Santos FC,Fluminense FC,0,0,9,5,5,3,0,2,6,1,18,12,13,19,7,1
208,SC Corinthians,SE Palmeiras,1,1,9,19,5,8,6,1,3,10,16,17,18,16,1,2
209,Mirassol FC,EC Bahia,5,1,15,15,2,5,5,5,4,2,6,13,13,7,2,0
210,EC Vitória,Atlético Mineiro,1,0,14,19,7,10,5,3,2,5,12,20,20,13,3,3
211,SC Internacional,Fortaleza EC,2,1,14,10,4,2,2,3,4,5,12,15,16,14,1,3
212,Sport Recife,CR Vasco da Gama,2,3,14,10,5,2,4,2,10,5,9,7,9,10,3,0
213,Grêmio FBPA,Mirassol FC,0,1,14,16,7,8,5,5,6,3,15,12,13,15,2,0
214,Fortaleza EC,EC Vitória,2,0,13,11,3,7,3,3,4,2,15,14,14,15,0,0
215,SE Palmeiras,SC Internacional,4,1,20,7,5,4,2,4,7,1,15,10,10,16,5,0
216,Fluminense FC,SC Corinthians,0,1,16,2,3,0,0,4,5,4,18,15,16,19,0,1
217,RB Bragantino,Sport Recife,1,1,21,16,10,3,7,8,5,7,10,10,11,11,2,0
218,Atlético Mineiro,Santos FC,1,1,17,12,8,4,4,4,7,3,14,12,12,15,1,0
219,EC Juventude,CR Flamengo,0,2,6,13,1,4,2,1,6,7,11,16,16,12,2,0
220,São Paulo FC,Botafogo FR,1,0,11,12,6,6,2,2,4,4,14,11,11,14,5,0
221,CR Vasco da Gama,Ceará SC,2,2,17,12,8,5,5,4,3,3,10,19,19,10,1,2
222,EC Bahia,Cruzeiro EC,1,2,13,10,4,5,1,4,6,5,12,11,11,12,1,0
223,EC Vitória,Fluminense FC,0,1,17,11,8,4,3,4,10,6,14,17,17,14,3,1
224,Botafogo FR,Atlético Mineiro,1,0,8,13,3,7,2,1,7,4,8,13,14,9,1,0
225,Ceará SC,EC Bahia,1,1,15,14,9,8,4,4,3,6,11,13,13,11,0,3
226,SE Palmeiras,Fortaleza EC,4,1,23,8,7,0,4,6,11,2,14,11,11,15,2,3
227,Mirassol FC,EC Juventude,2,0,16,12,6,5,3,2,4,11,10,10,10,10,1,0
228,CR Flamengo,CR Vasco da Gama,1,1,14,11,6,4,3,2,3,7,12,14,15,12,0,0
229,SC Internacional,Grêmio FBPA,2,3,19,6,10,3,0,4,8,1,13,18,18,15,0,2
230,Sport Recife,SC Corinthians,1,0,12,19,4,8,4,3,8,7,8,17,17,9,3,1
231,Santos FC,São Paulo FC,1,0,19,4,6,3,1,3,4,3,16,15,16,17,1,2
232,Cruzeiro EC,RB Bragantino,2,1,13,8,9,2,5,1,7,4,17,9,10,18,0,1
233,Fortaleza EC,Sport Recife,1,0,15,12,7,3,6,3,8,5,16,17,17,16,1,3
234,CR Vasco da Gama,Cruzeiro EC,2,0,12,21,3,11,4,2,3,9,12,13,13,13,0,1
235,EC Juventude,SC Internacional,1,1,14,5,4,3,1,2,7,1,18,20,20,18,1,1
236,Atlético Mineiro,Mirassol FC,1,0,11,26,2,12,5,4,4,11,8,11,11,8,0,2
237,Grêmio FBPA,EC Vitória,3,1,10,6,1,1,3,3,1,5,10,6,8,13,1,2
238,Fluminense FC,Botafogo FR,2,0,8,12,3,8,1,1,4,2,11,10,10,13,4,1
239,EC Bahia,SE Palmeiras,1,0,12,11,4,6,4,4,1,4,18,12,13,18,1,3
240,RB Bragantino,Santos FC,2,2,8,18,3,5,5,0,5,7,10,10,10,11,1,1
241,SC Corinthians,CR Flamengo,1,2,16,13,6,7,0,4,5,3,19,14,16,21,0,0
242,São Paulo FC,Ceará SC,0,1,15,7,9,0,5,2,7,3,17,12,14,18,0,0
243,Atlético Mineiro,EC Juventude,0,0,13,6,8,2,2,1,5,1,15,11,12,16,2,2
244,SE Palmeiras,CR Vasco da Gama,3,0,11,9,3,5,3,3,1,3,15,7,7,15,2,0
245,Mirassol FC,RB Bragantino,1,1,14,13,6,4,3,5,12,5,17,12,13,18,2,0
246,Sport Recife,Fluminense FC,2,2,12,11,2,4,3,2,3,1,13,15,15,13,3,2
247,SC Internacional,SC Corinthians,1,1,10,5,2,2,1,3,3,4,16,21,21,16,4,1
248,Botafogo FR,EC Bahia,2,1,15,10,5,5,1,6,6,4,9,19,19,10,2,0
249,Santos FC,Grêmio FBPA,1,1,24,4,13,1,0,6,10,0,16,19,20,18,1,1
250,EC Vitória,Ceará SC,1,0,9,13,4,9,3,1,6,3,15,14,14,15,3,2
251,Fortaleza EC,São Paulo FC,0,2,24,8,9,4,1,5,8,6,9,12,12,9,0,0
252,CR Flamengo,Cruzeiro EC,0,0,15,11,5,2,5,2,4,2,17,16,16,19,1,1
253,Fluminense FC,Atlético Mineiro,3,0,14,5,2,0,1,7,4,2,13,11,12,14,3,2
254,SC Internacional,Botafogo FR,2,0,15,13,7,4,3,5,6,4,10,15,15,11,0,0
255,SC Corinthians,Mirassol FC,3,0,10,20,2,8,0,0,2,6,13,18,19,14,0,1
256,São Paulo FC,SE Palmeiras,2,3,12,14,6,4,3,3,4,7,12,12,12,12,1,0
257,EC Bahia,CR Flamengo,1,0,11,8,3,2,3,2,3,1,14,20,22,14,1,0
258,EC Juventude,Fortaleza EC,1,2,16,8,4,4,1,6,8,1,15,14,14,15,3,2
259,Cruzeiro EC,Sport Recife,1,1,27,17,12,7,4,6,10,3,15,9,11,15,5,1
260,Ceará SC,Santos FC,3,0,11,17,4,9,5,2,2,7,14,16,16,16,3,1
261,SE Palmeiras,RB Bragantino,5,1,26,6,6,3,1,7,8,3,14,7,9,14,2,1
262,Botafogo FR,CR Flamengo,0,3,16,11,9,5,1,5,3,2,16,18,21,17,0,0
263,Mirassol FC,SC Internacional,3,1,17,6,10,3,2,2,9,2,17,12,12,18,2,1
264,Sport Recife,Ceará SC,1,1,17,15,5,2,7,5,5,4,17,13,13,17,1,2
265,Santos FC,SC Corinthians,3,1,19,5,9,2,0,2,5,4,12,21,22,12,2,2
266,Atlético Mineiro,Cruzeiro EC,1,1,23,4,11,1,1,3,2,1,13,18,20,15,1,0
267,Fortaleza EC,CR Vasco da Gama,0,2,27,6,12,2,1,9,10,2,8,14,16,9,2,2
268,Grêmio FBPA,São Paulo FC,2,0,18,14,6,10,1,5,5,3,15,11,11,16,0,0
269,Fluminense FC,EC Juventude,1,0,13,9,6,5,1,0,8,2,18,12,12,18,0,1
270,EC Vitória,EC Bahia,2,1,9,11,1,4,4,3,4,3,7,20,20,8,0,3
271,SC Corinthians,Atlético Mineiro,1,0,13,8,6,3,1,0,5,3,20,15,15,20,3,1
272,Cruzeiro EC,Fortaleza EC,1,0,10,18,6,9,4,3,3,6,16,13,13,17,1,0
273,CR Flamengo,SE Palmeiras,3,2,8,20,2,5,7,1,1,8,16,12,13,16,1,0
274,Mirassol FC,São Paulo FC,3,0,12,10,3,5,3,6,3,7,15,11,11,17,0,5
275,SC Internacional,Sport Recife,2,0,13,13,5,5,2,3,3,6,11,17,18,13,4,2
276,Ceará SC,Botafogo FR,0,2,21,10,10,2,2,2,9,5,13,10,11,14,5,1
277,EC Bahia,Grêmio FBPA,4,0,23,13,7,7,1,4,11,5,11,8,9,12,0,0
278,EC Juventude,RB Bragantino,1,0,19,9,13,4,1,2,4,2,21,24,24,22,0,3
279,CR Vasco da Gama,Fluminense FC,2,0,11,12,3,4,4,3,1,4,18,14,15,19,0,0
280,Santos FC,EC Vitória,0,1,13,10,6,5,1,4,3,3,17,13,13,18,1,1
281,Atlético Mineiro,Ceará SC,1,0,6,16,1,6,6,2,3,7,12,9,9,13,2,0
282,EC Vitória,SC Corinthians,0,1,11,11,7,2,4,2,5,6,11,22,23,13,3,2
283,Fluminense FC,SC Internacional,1,0,21,8,8,4,0,6,6,3,9,12,13,10,1,1
284,Sport Recife,Mirassol FC,1,2,11,14,3,3,3,2,7,1,8,6,6,9,1,3
285,Fortaleza EC,CR Flamengo,1,0,9,14,2,5,3,3,4,5,10,10,10,10,1,2
286,São Paulo FC,EC Bahia,2,0,5,18,3,11,3,0,5,11,13,10,10,13,4,1
287,Botafogo FR,Santos FC,2,2,18,9,6,1,5,7,6,6,6,14,14,8,4,0
288,Grêmio FBPA,EC Juventude,3,1,20,9,9,3,3,4,4,3,32,11,11,32,1,0
289,RB Bragantino,CR Vasco da Gama,0,3,11,8,4,2,2,1,5,3,6,10,11,7,1,0
290,SE Palmeiras,Cruzeiro EC,0,0,13,10,8,3,4,4,4,8,16,24,24,16,2,1
291,Santos FC,Fortaleza EC,1,1,15,13,7,2,7,4,7,4,20,14,15,22,2,2
292,Cruzeiro EC,EC Vitória,3,1,13,10,3,1,6,7,5,3,11,15,15,11,1,1
293,Mirassol FC,Botafogo FR,0,0,10,10,6,5,1,1,7,2,22,11,11,22,2,0
294,CR Flamengo,Sport Recife,3,0,24,4,11,0,2,7,9,8,14,14,16,15,0,3
295,SC Corinthians,Grêmio FBPA,2,0,13,14,6,7,3,2,5,8,7,13,14,8,0,1
296,EC Bahia,RB Bragantino,2,1,17,7,5,3,2,4,4,3,19,11,11,20,1,2
297,Ceará SC,Fluminense FC,2,0,14,4,5,0,3,3,4,5,12,12,14,15,2,1
298,SC Internacional,Atlético Mineiro,0,0,21,6,4,1,2,8,7,1,9,16,18,10,4,0
299,EC Juventude,SE Palmeiras,0,2,12,14,1,3,3,10,4,1,15,15,16,15,0,2
300,CR Vasco da Gama,São Paulo FC,0,2,24,11,6,4,4,8,6,5,15,10,11,15,0,2
301,RB Bragantino,SC Corinthians,2,1,19,8,5,3,4,4,6,1,15,20,20,15,1,0
302,EC Vitória,SC Internacional,1,0,11,9,6,2,4,2,4,4,20,13,13,21,1,3
303,Sport Recife,EC Juventude,0,2,14,7,6,3,2,2,4,5,18,20,21,19,4,3
304,Botafogo FR,CR Vasco da Gama,3,0,23,12,6,6,0,7,8,3,11,9,10,11,3,0
305,Atlético Mineiro,EC Bahia,3,0,23,12,5,5,4,4,13,3,8,6,6,8,2,1
306,Grêmio FBPA,Cruzeiro EC,0,1,17,9,9,3,5,6,5,6,17,13,15,17,2,0
307,São Paulo FC,CR Flamengo,2,2,15,15,8,8,0,2,3,5,18,14,14,18,1,1
308,Fluminense FC,Mirassol FC,1,0,16,10,8,5,2,3,4,3,9,23,24,10,1,3
309,Ceará SC,Fortaleza EC,1,1,13,7,6,1,3,2,5,4,11,16,17,12,1,0
310,SE Palmeiras,Santos FC,2,0,31,9,9,5,2,11,13,5,8,9,11,8,0,2
311,Sport Recife,Atlético Mineiro,2,4,7,20,2,10,1,2,4,4,6,12,12,6,2,3
